Vide;Time;Value
-------------------- N3 --------------------
2018-06-25T10:55:39.9110000;0;684.8
2018-06-25T10:55:39.9130000;2;681.0
2018-06-25T10:55:39.9150000;4;673.6
2018-06-25T10:55:39.9170000;6;670.2
2018-06-25T10:55:39.9190000;8;665.9
2018-06-25T10:55:39.9210000;10;659.4
2018-06-25T10:55:39.9230000;12;653.3
2018-06-25T10:55:39.9250000;14;650.7
2018-06-25T10:55:39.9270000;16;649.9
2018-06-25T10:55:39.9290000;18;648.6
2018-06-25T10:55:39.9310000;20;646.9
2018-06-25T10:55:39.9330000;22;646.0
2018-06-25T10:55:39.9350000;24;651.6
2018-06-25T10:55:39.9370000;26;655.1
2018-06-25T10:55:39.9390000;28;660.2
2018-06-25T10:55:39.9410000;30;670.6
2018-06-25T10:55:39.9430000;32;680.1
2018-06-25T10:55:39.9450000;34;693.0
2018-06-25T10:55:39.9470000;36;709.9
2018-06-25T10:55:39.9490000;38;729.3
2018-06-25T10:55:39.9510000;40;750.9
2018-06-25T10:55:39.9530000;42;767.7
2018-06-25T10:55:39.9550000;44;785.4
2018-06-25T10:55:39.9570000;46;802.6
2018-06-25T10:55:39.9590000;48;820.8
2018-06-25T10:55:39.9610000;50;841.5
2018-06-25T10:55:39.9630000;52;857.0
2018-06-25T10:55:39.9650000;54;869.1
2018-06-25T10:55:39.9670000;56;876.9
2018-06-25T10:55:39.9690000;58;886.8
2018-06-25T10:55:39.9710000;60;901.9
2018-06-25T10:55:39.9730000;62;912.3
2018-06-25T10:55:39.9750000;64;920.0
2018-06-25T10:55:39.9770000;66;926.9
2018-06-25T10:55:39.9790000;68;933.0
2018-06-25T10:55:39.9810000;70;941.6
2018-06-25T10:55:39.9830000;72;946.8
2018-06-25T10:55:39.9850000;74;952.4
2018-06-25T10:55:39.9870000;76;958.4
2018-06-25T10:55:39.9890000;78;961.9
2018-06-25T10:55:39.9910000;80;968.8
2018-06-25T10:55:39.9930000;82;975.3
2018-06-25T10:55:39.9950000;84;980.9
2018-06-25T10:55:39.9970000;86;987.3
2018-06-25T10:55:39.9990000;88;991.2
2018-06-25T10:55:40.0010000;90;991.2
2018-06-25T10:55:40.0030000;92;996.4
2018-06-25T10:55:40.0050000;94;1004.6
2018-06-25T10:55:40.0070000;96;1015.0
2018-06-25T10:55:40.0090000;98;1027.0
2018-06-25T10:55:40.0110000;100;1037.8
2018-06-25T10:55:40.0130000;102;1047.3
2018-06-25T10:55:40.0150000;104;1058.1
2018-06-25T10:55:40.0170000;106;1068.5
2018-06-25T10:55:40.0190000;108;1087.0
2018-06-25T10:55:40.0210000;110;1102.6
2018-06-25T10:55:40.0230000;112;1114.6
2018-06-25T10:55:40.0250000;114;1124.6
2018-06-25T10:55:40.0270000;116;1134.1
2018-06-25T10:55:40.0290000;118;1143.1
2018-06-25T10:55:40.0310000;120;1147.9
2018-06-25T10:55:40.0330000;122;1152.2
2018-06-25T10:55:40.0350000;124;1157.8
2018-06-25T10:55:40.0370000;126;1162.1
2018-06-25T10:55:40.0390000;128;1167.3
2018-06-25T10:55:40.0410000;130;1171.2
2018-06-25T10:55:40.0430000;132;1173.8
2018-06-25T10:55:40.0450000;134;1173.3
2018-06-25T10:55:40.0470000;136;1173.3
2018-06-25T10:55:40.0490000;138;1173.8
2018-06-25T10:55:40.0510000;140;1175.5
2018-06-25T10:55:40.0530000;142;1178.5
2018-06-25T10:55:40.0550000;144;1177.7
2018-06-25T10:55:40.0570000;146;1178.5
2018-06-25T10:55:40.0590000;148;1177.2
2018-06-25T10:55:40.0610000;150;1178.5
2018-06-25T10:55:40.0630000;152;1177.2
2018-06-25T10:55:40.0650000;154;1177.7
2018-06-25T10:55:40.0670000;156;1177.2
2018-06-25T10:55:40.0690000;158;1176.4
2018-06-25T10:55:40.0710000;160;1174.2
2018-06-25T10:55:40.0730000;162;1171.6
2018-06-25T10:55:40.0750000;164;1170.7
2018-06-25T10:55:40.0770000;166;1168.2
2018-06-25T10:55:40.0790000;168;1167.3
2018-06-25T10:55:40.0810000;170;1163.8
2018-06-25T10:55:40.0830000;172;1163.4
2018-06-25T10:55:40.0850000;174;1164.3
2018-06-25T10:55:40.0870000;176;1160.4
2018-06-25T10:55:40.0890000;178;1155.2
2018-06-25T10:55:40.0910000;180;1155.2
2018-06-25T10:55:40.0930000;182;1153.5
2018-06-25T10:55:40.0950000;184;1152.2
2018-06-25T10:55:40.0970000;186;1150.5
2018-06-25T10:55:40.0990000;188;1149.6
2018-06-25T10:55:40.1010000;190;1148.3
2018-06-25T10:55:40.1030000;192;1147.4
2018-06-25T10:55:40.1050000;194;1144.9
2018-06-25T10:55:40.1070000;196;1148.3
2018-06-25T10:55:40.1090000;198;1149.6
2018-06-25T10:55:40.1110000;200;1147.0
2018-06-25T10:55:40.1130000;202;1144.9
2018-06-25T10:55:40.1150000;204;1142.3
2018-06-25T10:55:40.1170000;206;1143.1
2018-06-25T10:55:40.1190000;208;1143.6
2018-06-25T10:55:40.1210000;210;1140.1
2018-06-25T10:55:40.1230000;212;1137.5
2018-06-25T10:55:40.1250000;214;1133.2
2018-06-25T10:55:40.1270000;216;1132.3
2018-06-25T10:55:40.1290000;218;1134.5
2018-06-25T10:55:40.1310000;220;1133.6
2018-06-25T10:55:40.1330000;222;1128.5
2018-06-25T10:55:40.1350000;224;1130.6
2018-06-25T10:55:40.1370000;226;1129.8
2018-06-25T10:55:40.1390000;228;1127.6
2018-06-25T10:55:40.1410000;230;1128.9
2018-06-25T10:55:40.1430000;232;1130.2
2018-06-25T10:55:40.1450000;234;1134.1
2018-06-25T10:55:40.1470000;236;1132.3
2018-06-25T10:55:40.1490000;238;1131.9
2018-06-25T10:55:40.1510000;240;1132.3
2018-06-25T10:55:40.1530000;242;1138.8
2018-06-25T10:55:40.1550000;244;1137.5
2018-06-25T10:55:40.1570000;246;1137.5
2018-06-25T10:55:40.1590000;248;1138.8
2018-06-25T10:55:40.1610000;250;1138.4
2018-06-25T10:55:40.1630000;252;1137.9
2018-06-25T10:55:40.1650000;254;1137.9
2018-06-25T10:55:40.1670000;256;1138.8
2018-06-25T10:55:40.1690000;258;1138.4
2018-06-25T10:55:40.1710000;260;1139.7
2018-06-25T10:55:40.1730000;262;1138.4
2018-06-25T10:55:40.1750000;264;1141.4
2018-06-25T10:55:40.1770000;266;1141.8
2018-06-25T10:55:40.1790000;268;1139.7
2018-06-25T10:55:40.1810000;270;1137.5
2018-06-25T10:55:40.1830000;272;1137.5
2018-06-25T10:55:40.1850000;274;1137.5
2018-06-25T10:55:40.1870000;276;1135.4
2018-06-25T10:55:40.1890000;278;1134.9
2018-06-25T10:55:40.1910000;280;1133.6
2018-06-25T10:55:40.1930000;282;1133.6
2018-06-25T10:55:40.1950000;284;1129.8
2018-06-25T10:55:40.1970000;286;1128.5
2018-06-25T10:55:40.1990000;288;1128.0
2018-06-25T10:55:40.2010000;290;1130.2
2018-06-25T10:55:40.2030000;292;1129.8
2018-06-25T10:55:40.2050000;294;1128.5
2018-06-25T10:55:40.2070000;296;1128.0
2018-06-25T10:55:40.2090000;298;1126.3
2018-06-25T10:55:40.2110000;300;1125.4
2018-06-25T10:55:40.2130000;302;1123.7
2018-06-25T10:55:40.2150000;304;1120.7
2018-06-25T10:55:40.2170000;306;1122.0
2018-06-25T10:55:40.2190000;308;1121.6
2018-06-25T10:55:40.2210000;310;1121.6
