Vide;Time;Value
-------------------- N11 --------------------
2018-06-25T10:39:34.7190000;0;611.9
2018-06-25T10:39:34.7210000;2;621.4
2018-06-25T10:39:34.7230000;4;630.9
2018-06-25T10:39:34.7250000;6;636.9
2018-06-25T10:39:34.7270000;8;641.7
2018-06-25T10:39:34.7290000;10;646.4
2018-06-25T10:39:34.7310000;12;646.9
2018-06-25T10:39:34.7330000;14;646.0
2018-06-25T10:39:34.7350000;16;646.9
2018-06-25T10:39:34.7370000;18;646.0
2018-06-25T10:39:34.7390000;20;645.1
2018-06-25T10:39:34.7410000;22;643.4
2018-06-25T10:39:34.7430000;24;640.0
2018-06-25T10:39:34.7450000;26;638.7
2018-06-25T10:39:34.7470000;28;636.5
2018-06-25T10:39:34.7490000;30;631.3
2018-06-25T10:39:34.7510000;32;627.4
2018-06-25T10:39:34.7530000;34;623.6
2018-06-25T10:39:34.7550000;36;617.5
2018-06-25T10:39:34.7570000;38;614.9
2018-06-25T10:39:34.7590000;40;610.2
2018-06-25T10:39:34.7610000;42;606.3
2018-06-25T10:39:34.7630000;44;600.7
2018-06-25T10:39:34.7650000;46;597.2
2018-06-25T10:39:34.7670000;48;587.7
2018-06-25T10:39:34.7690000;50;582.6
2018-06-25T10:39:34.7710000;52;579.1
2018-06-25T10:39:34.7730000;54;575.2
2018-06-25T10:39:34.7750000;56;571.8
2018-06-25T10:39:34.7770000;58;564.9
2018-06-25T10:39:34.7790000;60;561.9
2018-06-25T10:39:34.7810000;62;558.0
2018-06-25T10:39:34.7830000;64;554.9
2018-06-25T10:39:34.7850000;66;549.3
2018-06-25T10:39:34.7870000;68;548.9
2018-06-25T10:39:34.7890000;70;545.9
2018-06-25T10:39:34.7910000;72;541.1
2018-06-25T10:39:34.7930000;74;538.1
2018-06-25T10:39:34.7950000;76;533.4
2018-06-25T10:39:34.7970000;78;530.4
2018-06-25T10:39:34.7990000;80;526.9
2018-06-25T10:39:34.8010000;82;524.7
2018-06-25T10:39:34.8030000;84;523.4
2018-06-25T10:39:34.8050000;86;520.9
2018-06-25T10:39:34.8070000;88;518.7
2018-06-25T10:39:34.8090000;90;517.8
2018-06-25T10:39:34.8110000;92;518.3
2018-06-25T10:39:34.8130000;94;516.1
2018-06-25T10:39:34.8150000;96;514.8
2018-06-25T10:39:34.8170000;98;513.5
2018-06-25T10:39:34.8190000;100;514.4
2018-06-25T10:39:34.8210000;102;514.0
2018-06-25T10:39:34.8230000;104;512.7
2018-06-25T10:39:34.8250000;106;509.6
2018-06-25T10:39:34.8270000;108;508.3
